target,slug,county_name
Community School for Creative Education,community-school-for-creative-education,Butte
Competitive Edge Charter Academy (CECA),competitive-edge-charter-academy-ceca,San Bernardino
Compton Unified,compton-unified,Riverside
Conejo Valley Unified,conejo-valley-unified,Los Angeles
Connect Community Charter,connect-community-charter,San Diego
Connecting Waters Charter,connecting-waters-charter,Placer
Connections Visual and Performing Arts Academy,connections-visual-and-performing-arts-academy,Sacramento
Conservation Corps of Long Beach Gateway Cities Charter,conservation-corps-of-long-beach-gateway-cities-charter,Placer
Conservatory of Vocal/Instrumental Arts,conservatory-of-vocal-instrumental-arts,Placer
Corcoran Joint Unified,corcoran-joint-unified,Stanislaus
CORE Butte Charter,core-butte-charter,Los Angeles
CORE Placer Charter,core-placer-charter,Santa Barbara
Cornerstone Academy Preparatory,cornerstone-academy-preparatory,Solano
Corning Union Elementary,corning-union-elementary,Sacramento
Corning Union High,corning-union-high,Los Angeles
Corona-Norco Unified,corona-norco-unified,San Bernardino
Coronado Pathways Charter,coronado-pathways-charter,Riverside
Coronado Unified,coronado-unified,Stanislaus
Cotati-Rohnert Park Unified,cotati-rohnert-park-unified,Placer
Cottonwood Creek Charter,cottonwood-creek-charter,Butte
Cottonwood Union Elementary,cottonwood-union-elementary,Santa Barbara
County Collaborative Charter,county-collaborative-charter,Marin
Covina-Valley Unified,covina-valley-unified,Orange
Cox Academy,cox-academy,Tulare
Creative Arts Charter,creative-arts-charter,San Bernardino
Creative Connections Arts Academy,creative-connections-arts-academy,Butte
Credo High,credo-high,Humboldt
Creekside Charter,creekside-charter,Los Angeles
Crenshaw Arts-Technology Charter High,crenshaw-arts-technology-charter-high,Alameda
Crescent Valley Public Charter,crescent-valley-public-charter,Los Angeles
Crescent View South Charter,crescent-view-south-charter,Los Angeles
Crescent View West Charter,crescent-view-west-charter,Contra Costa
Crossroads Charter,crossroads-charter,Stanislaus
Crown Preparatory Academy,crown-preparatory-academy,Sacramento
Cucamonga Elementary,cucamonga-elementary,San Bernardino
Cuddeback Union Elementary,cuddeback-union-elementary,Tehama
Culver City Unified,culver-city-unified,Los Angeles
Cupertino Union Elementary,cupertino-union-elementary,Los Angeles
Curtis Creek Elementary,curtis-creek-elementary,Los Angeles
Cutler-Orosi Joint Unified,cutler-orosi-joint-unified,Fresno
Cutten Elementary,cutten-elementary,Contra Costa
Cuyama Joint Unified,cuyama-joint-unified,Los Angeles
Cypress Charter High,cypress-charter-high,San Diego
Cypress Elementary,cypress-elementary,Los Angeles
Da Vinci Charter Academy,da-vinci-charter-academy,Los Angeles
Da Vinci Communications High,da-vinci-communications-high,Siskiyou
Da Vinci Design,da-vinci-design,Alameda
Da Vinci Innovation Academy,da-vinci-innovation-academy,Orange
Da Vinci Science,da-vinci-science,Santa Clara
Darby Avenue Charter,darby-avenue-charter,Los Angeles
Darnall Charter,darnall-charter,Los Angeles
Davis Joint Unified,davis-joint-unified,Los Angeles
Dearborn Elementary Charter Academy,dearborn-elementary-charter-academy,Los Angeles
Death Valley Unified,death-valley-unified,Shasta
Dehesa Charter,dehesa-charter,El Dorado
Dehesa Elementary,dehesa-elementary,Sonoma
Del Mar Union Elementary,del-mar-union-elementary,San Luis Obispo
Del Norte County Unified,del-norte-county-unified,Kern
Del Vista Math and Science Academy,del-vista-math-and-science-academy,San Diego
Delano Joint Union High,delano-joint-union-high,Sonoma
Delano Union Elementary,delano-union-elementary,Los Angeles
Delhi Unified,delhi-unified,Tulare
Delphic Elementary,delphic-elementary,Tulare
Delta Charter,delta-charter,Los Angeles
Delta Charter,delta-charter,San Joaquin
Delta Charter Online,delta-charter-online,San Diego
Delta Elementary Charter,delta-elementary-charter,Colusa
Denair Academic Avenues,denair-academic-avenues,Los Angeles
Denair Charter Academy,denair-charter-academy,Los Angeles
Denair Unified,denair-unified,Santa Clara
Desert Center Unified,desert-center-unified,Tulare
Desert Sands Charter,desert-sands-charter,Kern
Desert Sands Unified,desert-sands-unified,Tulare
Desert Trails Preparatory Academy,desert-trails-preparatory-academy,Los Angeles
Design Tech High School,design-tech-high-school,Los Angeles
Di Giorgio Elementary,di-giorgio-elementary,Los Angeles
Diego Hills Charter,diego-hills-charter,Marin
Diego Springs Academy,diego-springs-academy,Nevada
Diego Valley Charter,diego-valley-charter,Los Angeles
Dinuba Unified,dinuba-unified,Ventura
Discovery Charter,discovery-charter,Imperial
Discovery Charter,discovery-charter,Los Angeles
Discovery Charter,discovery-charter,Santa Clara
Discovery Charter II,discovery-charter-ii,Monterey
Discovery Charter Preparatory No. 2,discovery-charter-preparatory-no-2,El Dorado
Dixie Canyon Community Charter,dixie-canyon-community-charter,Stanislaus
Dixie Elementary,dixie-elementary,San Bernardino
Dixon Montessori Charter,dixon-montessori-charter,San Francisco
Dixon Unified,dixon-unified,Placer
Dos Palos Oro Loma Jt. Unified,dos-palos-oro-loma-jt-unified,Alameda
Douglas City Elementary,douglas-city-elementary,Madera
Downey Unified,downey-unified,San Joaquin
Downtown Charter Academy,downtown-charter-academy,Yuba
Downtown College Prep - Alum Rock,downtown-college-prep-alum-rock,Fresno
Downtown College Preparatory,downtown-college-preparatory,San Diego
Downtown College Preparatory Middle,downtown-college-preparatory-middle,Merced
Downtown Value,downtown-value,Santa Clara
Dr. Lewis Dolphin Stallworth Sr. Charter,dr-lewis-dolphin-stallworth-sr-charter,Sonoma
"Dr. Theo. T. Alexander Jr., Science Center",dr-theo-t-alexander-jr-science-center,Tuolumne
Dry Creek Joint Elementary,dry-creek-joint-elementary,Kern
Dual Language Academy of the Monterey Peninsula,dual-language-academy-of-the-monterey-peninsula,Kings
Duarte Unified,duarte-unified,San Bernardino
Dublin Unified,dublin-unified,Los Angeles
Ducor Union Elementary,ducor-union-elementary,Tulare
Dunham Charter,dunham-charter,Tulare
Dunham Elementary,dunham-elementary,Siskiyou
Dunsmuir Elementary,dunsmuir-elementary,Los Angeles
Dunsmuir Joint Union High,dunsmuir-joint-union-high,Mendocino
Durham Unified,durham-unified,Imperial
E3 Civic High,e3-civic-high,Los Angeles
Eagle Peak Montessori,eagle-peak-montessori,Los Angeles
Earlimart Elementary,earlimart-elementary,Los Angeles
East Bay Innovation Academy,east-bay-innovation-academy,Tuolumne
East Nicolaus Joint Union High,east-nicolaus-joint-union-high,San Diego
East Oakland Leadership Academy,east-oakland-leadership-academy,Butte
East Palo Alto Academy,east-palo-alto-academy,Santa Clara
East Side Union High,east-side-union-high,Orange
East Whittier City Elementary,east-whittier-city-elementary,Orange
Eastern Sierra Unified,eastern-sierra-unified,Los Angeles
Eastside Union Elementary,eastside-union-elementary,Los Angeles
eCademy Charter at Crane,ecademy-charter-at-crane,Nevada
Edison Charter Academy,edison-charter-academy,Santa Barbara
Edison Elementary,edison-elementary,San Bernardino
Edison-Bethune Charter Academy,edison-bethune-charter-academy,Los Angeles
EDUHSD Virtual Academy at Shenandoah,eduhsd-virtual-academy-at-shenandoah,Fresno
Edward B. Cole Academy,edward-b-cole-academy,Sonoma
Eel River Charter,eel-river-charter,Sonoma
Einstein Academy,einstein-academy,Santa Clara
EJE Elementary Academy Charter,eje-elementary-academy-charter,Sierra
EJE Middle Academy,eje-middle-academy,Shasta
El Camino Real Charter High,el-camino-real-charter-high,Imperial
El Centro Elementary,el-centro-elementary,Riverside
El Dorado Union High,el-dorado-union-high,Los Angeles
El Monte City,el-monte-city,Monterey
El Monte Union High,el-monte-union-high,San Diego
El Nido Elementary,el-nido-elementary,Contra Costa
El Oro Way Charter For Enriched Studies,el-oro-way-charter-for-enriched-studies,Humboldt
El Rancho Charter,el-rancho-charter,Humboldt
El Rancho Unified,el-rancho-unified,Alameda
El Segundo Unified,el-segundo-unified,Los Angeles
El Sol Santa Ana Science and Arts Academy,el-sol-santa-ana-science-and-arts-academy,Sutter
El Tejon Unified,el-tejon-unified,Alameda
Eleanor Roosevelt Community Learning Center,eleanor-roosevelt-community-learning-center,San Joaquin
Elevate Elementary,elevate-elementary,Kings
Elise P. Buckingham Charter Magnet High,elise-p-buckingham-charter-magnet-high,Humboldt
Elk Grove Charter,elk-grove-charter,Stanislaus
Elk Grove Unified,elk-grove-unified,Orange
Elk Hills Elementary,elk-hills-elementary,Contra Costa
Elkins Elementary,elkins-elementary,Humboldt
Elverta Joint Elementary,elverta-joint-elementary,Sacramento
Emelita Academy Charter,emelita-academy-charter,Sacramento
Emerson Community Charter School,emerson-community-charter-school,Butte
Emery Unified,emery-unified,Tulare
Empire Springs Charter,empire-springs-charter,Riverside
Empire Union Elementary,empire-union-elementary,Kings
Empower Charter,empower-charter,Butte
Enadia Technology Enriched Charter,enadia-technology-enriched-charter,Fresno
Encinitas Union Elementary,encinitas-union-elementary,Kern
Encino Charter Elementary,encino-charter-elementary,San Bernardino
Encore Jr./Sr. High School for the Performing and Visual Arts,encore-jr-sr-high-school-for-the-performing-and-visual-arts,Kern
Endeavor College Preparatory Charter,endeavor-college-preparatory-charter,San Luis Obispo
Endeavour Academy,endeavour-academy,Placer
Enterprise Elementary,enterprise-elementary,Los Angeles
Environmental Charter High,environmental-charter-high,Sacramento
Environmental Charter Middle,environmental-charter-middle,Sacramento
Environmental Charter Middle - Inglewood,environmental-charter-middle-inglewood,San Diego
Envision Academy for Arts & Technology,envision-academy-for-arts-and-technology,Sonoma
Epic Charter,epic-charter,Lassen
EPIC de Cesar Chavez,epic-de-cesar-chavez,Sonoma
Epiphany Prep Charter,epiphany-prep-charter,Sonoma
Equitas Academy Charter,equitas-academy-charter,Del Norte
Equitas Academy Charter #2,equitas-academy-charter-2,Kings
Escalon Charter Academy,escalon-charter-academy,Los Angeles
Escalon Unified,escalon-unified,San Mateo
Escondido Charter High,escondido-charter-high,Kern
Escondido Union Elementary,escondido-union-elementary,Santa Barbara
Escondido Union High,escondido-union-high,Santa Clara
Escuela Popular Accelerated Family Learning,escuela-popular-accelerated-family-learning,Tuolumne
"Escuela Popular/Center for Training and Careers, Family Learning",escuela-popular-center-for-training-and-careers-family-learning,Monterey
Esparto Unified,esparto-unified,Butte
Etiwanda Elementary,etiwanda-elementary,Stanislaus
Eureka City Unified,eureka-city-unified,Fresno
Eureka Union Elementary,eureka-union-elementary,Butte
EV Cain 21st Century STEM Charter,ev-cain-21st-century-stem-charter,Los Angeles
Evangeline Roberts Institute of Learning,evangeline-roberts-institute-of-learning,Sonoma
Everest Public High,everest-public-high,San Diego
Everest Value,everest-value,Shasta
Evergreen Elementary,evergreen-elementary,Santa Barbara
Evergreen Union Elementary,evergreen-union-elementary,Los Angeles
Excel Prep Charter,excel-prep-charter,Sonoma
Excel Prep Charter - IE,excel-prep-charter-ie,Los Angeles
Excelsior Charter,excelsior-charter,Los Angeles
Executive Preparatory Academy of Finance,executive-preparatory-academy-of-finance,Los Angeles
Exeter Unified,exeter-unified,Placer
Explorer Elementary,explorer-elementary,Tulare
Extera Public,extera-public,Los Angeles
Extera Public School No. 2,extera-public-school-no-2,Riverside
Ezequiel Tafoya Alvarado Academy,ezequiel-tafoya-alvarado-academy,Los Angeles
Fairfax Elementary,fairfax-elementary,Santa Cruz
Fairfield-Suisun Unified,fairfield-suisun-unified,San Diego
Fairmont Charter Elementary,fairmont-charter-elementary,Los Angeles
Fall River Joint Unified,fall-river-joint-unified,Los Angeles
Fallbrook Union Elementary,fallbrook-union-elementary,Merced
Fallbrook Union High,fallbrook-union-high,San Bernardino
FAME Public Charter,fame-public-charter,Sacramento
Family First Charter,family-first-charter,Lake
Family Partnership Home Study Charter,family-partnership-home-study-charter,Los Angeles
Fammatre Elementary,fammatre-elementary,Los Angeles
Farmersville Unified,farmersville-unified,Fresno
Farnham Charter,farnham-charter,Shasta
Feaster (Mae L.) Charter,feaster-mae-l-charter,Sonoma
Feather Falls Union Elementary,feather-falls-union-elementary,Kern
Fenton Avenue Charter,fenton-avenue-charter,Los Angeles
Fenton Primary Center,fenton-primary-center,Los Angeles
Ferndale Unified,ferndale-unified,Humboldt
Fieldbrook Elementary,fieldbrook-elementary,Los Angeles
Fillmore Unified,fillmore-unified,Amador
Firebaugh-Las Deltas Unified,firebaugh-las-deltas-unified,Los Angeles
Five Keys Adult School (SF Sheriff's),five-keys-adult-school-sf-sheriffs,Inyo
Five Keys Charter (SF Sheriff's),five-keys-charter-sf-sheriffs,Los Angeles
Five Keys Independence HS (SF Sheriff's),five-keys-independence-hs-sf-sheriffs,Tulare
Flournoy Union Elementary,flournoy-union-elementary,Humboldt
Folsom Cordova K-8 Community Charter,folsom-cordova-k-8-community-charter,San Bernardino
Folsom-Cordova Unified,folsom-cordova-unified,Los Angeles
Fontana Unified,fontana-unified,San Diego
Foothill Leadership Academy,foothill-leadership-academy,Sonoma
Forest Charter,forest-charter,Los Angeles
Forest Hill Elementary,forest-hill-elementary,Los Angeles
Forest Ranch Charter,forest-ranch-charter,San Diego
Foresthill Union Elementary,foresthill-union-elementary,Tulare
Forestville Academy,forestville-academy,Sonoma
Forestville Union Elementary,forestville-union-elementary,Sacramento
Forks of Salmon Elementary,forks-of-salmon-elementary,San Benito
Fort Bragg Unified,fort-bragg-unified,San Joaquin
Fort Ross Elementary,fort-ross-elementary,Sonoma
Fort Sage Unified,fort-sage-unified,San Diego
Fortuna Elementary,fortuna-elementary,Mono
Fortuna Union High,fortuna-union-high,Riverside
Fortune,fortune,San Mateo
Fountain Valley Elementary,fountain-valley-elementary,San Luis Obispo
Fowler Unified,fowler-unified,Glenn
Franklin Elementary,franklin-elementary,Shasta
Franklin-McKinley Elementary,franklin-mckinley-elementary,San Bernardino
Frederick Douglass Academy Elementary,frederick-douglass-academy-elementary,Marin
Frederick Douglass Academy High,frederick-douglass-academy-high,Stanislaus
Frederick Douglass Academy Middle,frederick-douglass-academy-middle,Tulare
Fremont Unified,fremont-unified,Sacramento
Fremont Union High,fremont-union-high,Santa Clara
French Gulch-Whiskeytown Elementary,french-gulch-whiskeytown-elementary,Siskiyou
Freshwater Charter Middle,freshwater-charter-middle,Yuba
Freshwater Elementary,freshwater-elementary,Los Angeles
Fresno Academy for Civic and Entrepreneurial Leadership,fresno-academy-for-civic-and-entrepreneurial-leadership,San Diego
Fresno Unified,fresno-unified,Fresno
Fruitvale Elementary,fruitvale-elementary,Kern
Fuente Nueva Charter,fuente-nueva-charter,Shasta
Fullerton Elementary,fullerton-elementary,Stanislaus
Fullerton Joint Union High,fullerton-joint-union-high,Los Angeles
Fusion Charter,fusion-charter,Los Angeles
Futures High,futures-high,Sutter
Gabriella Charter,gabriella-charter,Santa Clara
Galt Joint Union Elementary,galt-joint-union-elementary,Kings
Galt Joint Union High,galt-joint-union-high,Merced
Garden Grove Unified,garden-grove-unified,San Bernardino
Garfield Elementary,garfield-elementary,Sonoma
Garr Academy of Math and Entrepreneurial Studies,garr-academy-of-math-and-entrepreneurial-studies,Humboldt
Garvey Elementary,garvey-elementary,San Diego
Gateway College and Career Academy,gateway-college-and-career-academy,Alameda
Gateway High,gateway-high,Ventura
Gateway International,gateway-international,Madera
Gateway Middle,gateway-middle,Ventura
Gateway to College Academy,gateway-to-college-academy,Madera
Gateway Unified,gateway-unified,Butte
Gazelle Union Elementary,gazelle-union-elementary,Shasta
General Shafter Elementary,general-shafter-elementary,Los Angeles
George Ellery Hale Charter Academy,george-ellery-hale-charter-academy,Sutter
George Washington Carver School of Arts and Science,george-washington-carver-school-of-arts-and-science,Tulare
George Washington Charter,george-washington-charter,Tulare
Gerber Union Elementary,gerber-union-elementary,Los Angeles
Germain Academy For Academic Achievement,germain-academy-for-academic-achievement,Los Angeles
Geyserville Unified,geyserville-unified,Fresno
Gilroy Prep,gilroy-prep,Los Angeles
Gilroy Unified,gilroy-unified,Alameda
Glacier High School Charter,glacier-high-school-charter,Siskiyou
Glendale Unified,glendale-unified,Orange
Glendora Unified,glendora-unified,Yolo
Global Education Academy,global-education-academy,Placer
Global Education Academy 2,global-education-academy-2,Humboldt
Global Education Academy Middle,global-education-academy-middle,Santa Cruz
Global Youth Charter,global-youth-charter,San Diego
Goethe International Charter,goethe-international-charter,San Joaquin
Gold Oak Union Elementary,gold-oak-union-elementary,Santa Clara
Gold Rush Charter,gold-rush-charter,Los Angeles
Gold Trail Union Elementary,gold-trail-union-elementary,Riverside
Golden Eagle Charter,golden-eagle-charter,Fresno
Golden Feather Union Elementary,golden-feather-union-elementary,Santa Clara
Golden Oak Montessori of Hayward,golden-oak-montessori-of-hayward,Merced
Golden Plains Unified,golden-plains-unified,Plumas
Golden Valley Charter,golden-valley-charter,Los Angeles
Golden Valley Charter School of Sacramento,golden-valley-charter-school-of-sacramento,Los Angeles
Golden Valley Unified,golden-valley-unified,Monterey
Goleta Union Elementary,goleta-union-elementary,El Dorado
Gompers Preparatory Academy,gompers-preparatory-academy,Los Angeles
Gonzales Unified,gonzales-unified,San Diego
Gorman Elementary,gorman-elementary,Fresno
Gorman Learning Center,gorman-learning-center,Merced
Grace Hopper STEM Academy,grace-hopper-stem-academy,San Diego
Granada Community Charter,granada-community-charter,Sacramento
Granada Hills Charter High,granada-hills-charter-high,San Bernardino
Grant Elementary,grant-elementary,San Diego
Grass Valley Charter,grass-valley-charter,Los Angeles
Grass Valley Elementary,grass-valley-elementary,Los Angeles
Gratton Charter,gratton-charter,San Benito
Gratton Elementary,gratton-elementary,Fresno
Gravenstein Elementary,gravenstein-elementary,Los Angeles
Gravenstein Union Elementary,gravenstein-union-elementary,Stanislaus
Graves Elementary,graves-elementary,Sonoma
Grayson Charter,grayson-charter,Los Angeles
Great Valley Academy,great-valley-academy,Fresno
Great Valley Academy - Manteca,great-valley-academy-manteca,Los Angeles
Greater San Diego Academy,greater-san-diego-academy,Fresno
Green Point Elementary,green-point-elementary,Marin
Green Valley Charter,green-valley-charter,Alpine
Greenfield Union Elementary,greenfield-union-elementary,Los Angeles
Greenfield Union Elementary,greenfield-union-elementary,Los Angeles
Grenada Elementary,grenada-elementary,San Diego
Gridley Unified,gridley-unified,Contra Costa
Grimmway Academy,grimmway-academy,Ventura
Grizzly ChalleNGe Charter,grizzly-challenge-charter,San Joaquin
Grossmont Union High,grossmont-union-high,San Diego
Grove,grove,Sonoma
Grover Cleveland Charter High,grover-cleveland-charter-high,Santa Clara
Guadalupe Union Elementary,guadalupe-union-elementary,Kern
Guajome Learning Center,guajome-learning-center,Tulare
Guajome Park Academy Charter,guajome-park-academy-charter,Fresno
Guerneville Elementary,guerneville-elementary,Santa Clara
Guidance Charter,guidance-charter,San Diego
Gustine Unified,gustine-unified,Sonoma
Hacienda la Puente Unified,hacienda-la-puente-unified,Solano
Hallmark Charter,hallmark-charter,Sutter
Hamilton Unified,hamilton-unified,Los Angeles
Hamlin Charter Academy,hamlin-charter-academy,Los Angeles
Hanford Elementary,hanford-elementary,Ventura
Hanford Joint Union High,hanford-joint-union-high,El Dorado
Happy Camp Union Elementary,happy-camp-union-elementary,Tehama
Happy Valley Elementary,happy-valley-elementary,San Diego
Happy Valley Union Elementary,happy-valley-union-elementary,Los Angeles
Harbor Springs Charter,harbor-springs-charter,Los Angeles
Hardy Brown College Prep,hardy-brown-college-prep,Monterey
Harmony Magnet Academy,harmony-magnet-academy,Los Angeles
Harmony Union Elementary,harmony-union-elementary,Siskiyou
Harriet Tubman Village Charter,harriet-tubman-village-charter,Los Angeles
Hart-Ransom Academic Charter,hart-ransom-academic-charter,Kings
Hart-Ransom Union Elementary,hart-ransom-union-elementary,Modoc
Harvest Ridge Cooperative Charter/Placer Academy,harvest-ridge-cooperative-charter-placer-academy,Madera
Hawthorne Elementary,hawthorne-elementary,Orange
Hawthorne Math and Science Academy,hawthorne-math-and-science-academy,Los Angeles
Haynes Charter For Enriched Studies,haynes-charter-for-enriched-studies,Stanislaus
Hayward Unified,hayward-unified,Riverside
Healdsburg Charter,healdsburg-charter,Santa Barbara
Healdsburg Unified,healdsburg-unified,Los Angeles
Health Careers Academy,health-careers-academy,Ventura
Health Sciences High,health-sciences-high,San Bernardino
Health Sciences Middle,health-sciences-middle,Merced
Heather Elementary,heather-elementary,Los Angeles
Heber Elementary,heber-elementary,Los Angeles
Helendale Elementary,helendale-elementary,San Diego
Helix High,helix-high,Los Angeles
Hemet Unified,hemet-unified,Orange
Heritage Digital Academy Charter Middle,heritage-digital-academy-charter-middle,San Joaquin
Heritage K-8 Charter,heritage-k-8-charter,Napa
Heritage Peak Charter,heritage-peak-charter,San Diego
Hermosa Beach City Elementary,hermosa-beach-city-elementary,Lake
Hesby Oaks Leadership Charter,hesby-oaks-leadership-charter,Santa Clara
Hesperia Unified,hesperia-unified,Riverside
Hickman Community Charter,hickman-community-charter,Sacramento
High Tech Elementary Chula Vista,high-tech-elementary-chula-vista,Tulare
High Tech Elementary North County,high-tech-elementary-north-county,San Diego
High Tech High,high-tech-high,Los Angeles
High Tech High Chula Vista,high-tech-high-chula-vista,Santa Clara
High Tech High International,high-tech-high-international,Los Angeles
High Tech High Media Arts,high-tech-high-media-arts,Los Angeles
High Tech High North County,high-tech-high-north-county,Shasta
High Tech LA,high-tech-la,Alameda
High Tech Middle,high-tech-middle,Butte
High Tech Middle Chula Vista,high-tech-middle-chula-vista,Placer
High Tech Middle Media Arts,high-tech-middle-media-arts,San Joaquin
High Tech Middle North County,high-tech-middle-north-county,San Joaquin
Higher Learning Academy,higher-learning-academy,San Bernardino
Highland Academy,highland-academy,Sonoma
Highlands Community Charter,highlands-community-charter,Los Angeles
Hillcrest Middle,hillcrest-middle,Butte
Hillsborough City Elementary,hillsborough-city-elementary,Los Angeles
Hilmar Unified,hilmar-unified,Monterey
Hollister,hollister,Los Angeles
Hollister Prep,hollister-prep,Tulare
Holly Drive Leadership Academy,holly-drive-leadership-academy,Alameda
Holtville Unified,holtville-unified,Los Angeles
Hometech Charter,hometech-charter,Ventura
Hope Academy Charter,hope-academy-charter,Contra Costa
Hope Charter Academy,hope-charter-academy,Los Angeles
Hope Elementary,hope-elementary,Sacramento
Hope Elementary,hope-elementary,Tulare
Horicon Elementary,horicon-elementary,Kern
Horizon Charter,horizon-charter,Sacramento
Hornbrook Elementary,hornbrook-elementary,San Diego
Hot Springs Elementary,hot-springs-elementary,Sonoma
Howard Gardner Community Charter,howard-gardner-community-charter,Sutter
Howell Mountain Elementary,howell-mountain-elementary,Tulare
Hueneme Elementary,hueneme-elementary,Alameda
Hughes-Elizabeth Lakes Union Elementary,hughes-elizabeth-lakes-union-elementary,Imperial
Hughson Unified,hughson-unified,Kern
Hume Lake Charter,hume-lake-charter,Monterey
"Humphreys College Academy of Business, Law and Education",humphreys-college-academy-of-business-law-and-education,San Diego
Huntington Beach City Elementary,huntington-beach-city-elementary,Yolo
Huntington Beach Union High,huntington-beach-union-high,Ventura
Hydesville Elementary,hydesville-elementary,Alameda
ICEF Inglewood Elementary Charter Academy,icef-inglewood-elementary-charter-academy,Los Angeles
ICEF Inglewood Middle Charter Academy,icef-inglewood-middle-charter-academy,Contra Costa
ICEF Vista Elementary Academy,icef-vista-elementary-academy,Marin
ICEF Vista Middle Academy,icef-vista-middle-academy,Napa
Ida Jew Academies,ida-jew-academies,Tulare
Iftin Charter,iftin-charter,Santa Clara
"Igo, Ono, Platina Union Elementary",igo-ono-platina-union-elementary,Imperial
iLEAD Lancaster Charter,ilead-lancaster-charter,Los Angeles
Imagine Schools at Imperial Valley,imagine-schools-at-imperial-valley,Orange
"Imagine Schools, Riverside County",imagine-schools-riverside-county,Los Angeles
Impact Academy of Arts & Technology,impact-academy-of-arts-and-technology,San Diego
Imperial Beach Charter,imperial-beach-charter,Sonoma
Imperial Unified,imperial-unified,San Mateo
Imperial Valley Home School Academy,imperial-valley-home-school-academy,San Diego
Independence Charter,independence-charter,San Diego
Independence Charter Academy,independence-charter-academy,Humboldt
Indian Diggings Elementary,indian-diggings-elementary,Butte
Indian Springs Elementary,indian-springs-elementary,Kern
Ingenium Charter,ingenium-charter,Los Angeles
Ingenium Charter Middle,ingenium-charter-middle,Placer
Inglewood Unified,inglewood-unified,Riverside
Inland Leaders Charter,inland-leaders-charter,San Diego
Innovations Academy,innovations-academy,Santa Barbara
Innovative Horizons Charter,innovative-horizons-charter,Fresno
Insight @ Los Angeles,insight-los-angeles,San Diego
Insight @ San Diego,insight-san-diego,Nevada
Inspire School of Arts and Sciences,inspire-school-of-arts-and-sciences,Santa Clara
Integrity Charter,integrity-charter,San Mateo
Intellectual Virtues Academy of Long Beach,intellectual-virtues-academy-of-long-beach,San Francisco
Intermountain STEM Academy Charter,intermountain-stem-academy-charter,El Dorado
International School of Monterey,international-school-of-monterey,San Bernardino
Ipakanni Early College Charter,ipakanni-early-college-charter,Los Angeles
iQ Academy California-Los Angeles,iq-academy-california-los-angeles,Fresno
Irvine Unified,irvine-unified,Alameda
Island Union Elementary,island-union-elementary,Sonoma
Ivy Academia,ivy-academia,San Bernardino
"Ivy Bound Academy Math, Science, and Technology Charter Middle #2",ivy-bound-academy-math-science-and-technology-charter-middle-2,Sutter
"Ivy Bound Academy of Math, Science, and Technology Charter Middle",ivy-bound-academy-of-math-science-and-technology-charter-middle,San Joaquin
IvyTech Charter,ivytech-charter,Monterey
Jacoby Creek Elementary,jacoby-creek-elementary,Santa Clara
James Jordan Middle,james-jordan-middle,Tuolumne
Jamestown Elementary,jamestown-elementary,San Diego
Jamul-Dulzura Union Elementary,jamul-dulzura-union-elementary,San Diego
Janesville Union Elementary,janesville-union-elementary,San Diego
Jardin de la Infancia,jardin-de-la-infancia,San Diego
Jefferson Charter Academy,jefferson-charter-academy,San Francisco
Jefferson Elementary,jefferson-elementary,Sacramento
Jefferson Elementary,jefferson-elementary,San Diego
Jefferson Elementary,jefferson-elementary,Sonoma
Jefferson Union High,jefferson-union-high,Santa Clara
Joe Serna Jr. Charter,joe-serna-jr-charter,Los Angeles
John Adams Academy,john-adams-academy,Los Angeles
John B. Riebli Elementary,john-b-riebli-elementary,Placer
John Swett Unified,john-swett-unified,Contra Costa
Johnstonville Elementary,johnstonville-elementary,Tulare
Journey,journey,Los Angeles
Juan Bautista de Anza,juan-bautista-de-anza,Monterey
Julian Charter,julian-charter,San Bernardino
Julian Union Elementary,julian-union-elementary,San Diego
Julian Union High,julian-union-high,Santa Cruz
Junction City Elementary,junction-city-elementary,San Joaquin
Junction Elementary,junction-elementary,San Luis Obispo
Junction Elementary,junction-elementary,Sonoma
Juniper Ridge Virtual Academy Charter,juniper-ridge-virtual-academy-charter,Alameda
Jurupa Unified,jurupa-unified,Orange
Justice Street Academy Charter,justice-street-academy-charter,Alameda
Kairos Public School Vacaville Academy,kairos-public-school-vacaville-academy,Santa Clara
Kashia Elementary,kashia-elementary,Siskiyou
Kavod Elementary Charter,kavod-elementary-charter,Santa Cruz
Kawana Elementary,kawana-elementary,Sonoma
Keiller Leadership Academy,keiller-leadership-academy,Santa Clara
Kelseyville Unified,kelseyville-unified,Los Angeles
Kenter Canyon Elementary,kenter-canyon-elementary,Alameda
Kentfield Elementary,kentfield-elementary,San Bernardino
Kenwood,kenwood,Sonoma
Kepler Neighborhood,kepler-neighborhood,Yolo
Keppel Union Elementary,keppel-union-elementary,Fresno
Kerman Unified,kerman-unified,Solano
Kern Union High,kern-union-high,Riverside
Kern Workforce 2000 Academy,kern-workforce-2000-academy,Los Angeles
Kernville Union Elementary,kernville-union-elementary,Shasta
Keyes to Learning Charter,keyes-to-learning-charter,Lassen
Keyes Union Elementary,keyes-union-elementary,Kern
Kid Street Learning Center Charter,kid-street-learning-center-charter,Kings
King City Union ,king-city-union-,Orange
King-Chavez Academy of Excellence,king-chavez-academy-of-excellence,Santa Clara
King-Chavez Arts Academy,king-chavez-arts-academy,Sutter
King-Chavez Athletics Academy,king-chavez-athletics-academy,San Bernardino
King-Chavez Community High,king-chavez-community-high,Fresno
King-Chavez Preparatory Academy,king-chavez-preparatory-academy,Yuba
